"Publication_Type","Authors","Article_Name","Journal","Year","Type"
"J","MacKintosh, C","Regulation of plant nitrate assimilation: from ecophysiology to brain proteins","NEW PHYTOLOGIST",1998,"Transgenic"
"J","Enfissi, EMA; Drapal, M; Perez-Fons, L; Nogueira, M; Berry, HM; Almeida, J; Fraser, PD","New plant breeding techniques and their regulatory implications: An opportunity to advance metabolomics approaches","JOURNAL OF PLANT PHYSIOLOGY",2021,"Transgenic"
"J","Meurer, CA; Dinkins, RD; Redmond, CT; McAllister, KP; Tucker, DT; Walker, DR; Parrott, WA; Trick, HN; Essig, JS; Frantz, HM; Finer, JJ; Collins, GB","Embryogenic response of multiple soybean [Glycine max (L.) Merr.] cultivars across three locations","IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT",2001,"Transgenic"
"J","Gong, B; Li, X; VandenLangenberg, KM; Wen, D; Sun, SS; Wei, M; Li, Y; Yang, FJ; Shi, QH; Wang, XF","Overexpression of S-adenosyl-L-methionine synthetase increased tomato tolerance to alkali stress through polyamine metabolism","PLANT BIOTECHNOLOGY JOURNAL",2014,"Transgenic"
"J","SANDERS, PR; SAMMONS, B; KANIEWSKI, W; HALEY, L; LAYTON, J; LAVALLEE, BJ; DELANNAY, X; TUMER, NE","FIELD-RESISTANCE OF TRANSGENIC TOMATOES EXPRESSING THE TOBACCO MOSAIC-VIRUS OR TOMATO MOSAIC-VIRUS COAT PROTEIN GENES","PHYTOPATHOLOGY",1992,"Transgenic"
"J","Yuan, GS; Chen, BF; Peng, H; Zheng, Q; Li, YC; Xiang, K; Liu, L; Zou, CY; Lin, HJ; Ding, HP; Pan, GT; Zhang, ZM","QTL mapping for resistance to ear rot caused byFusarium graminearumusing an IBM Syn10 DH population in maize","MOLECULAR BREEDING",2020,"Transgenic"
"J","Smaili, A; Rifai, LA; Mazoir, N; Koussa, T; Faize, L; Alburquerque, N; Burgos, L; Makroum, K; Malika, B; Benharref, A; Faize, M","Semisynthetic Triterpenes Derived from Euphorbia officinarum as Plant Growth Promoters and Inducers of Disease Resistance","JOURNAL OF PLANT GROWTH REGULATION",2019,"Transgenic"
"J","Cao, Y; Jain, A; Ai, H; Liu, XL; Wang, XW; Hu, Z; Sun, YF; Hu, SW; Shen, X; Lan, XX; Xu, GH; Sun, SB","OsPDR2 mediates the regulation on the development response and maintenance of Pi homeostasis in rice","PLANT PHYSIOLOGY AND BIOCHEMISTRY",2020,"Transgenic"
"J","Shriti, S; Paul, S; Das, S","Overexpression of CaMYB78 transcription factor enhances resistance response in chickpea against Fusarium oxysporum and negatively regulates anthocyanin biosynthetic pathway","PROTOPLASMA",2023,"Transgenic"
"J","DEIMEL, H; HOFFMANN, GM","DETRIMENTAL EFFECTS OF NET BLOTCH DISEASE TO BARLEY PLANTS CAUSED BY DRECHSLERA-TERES (SACC) SHOEMAKER","ZEITSCHRIFT FUR PFLANZENKRANKHEITEN UND PFLANZENSCHUTZ-JOURNAL OF PLANT DISEASES AND PROTECTION",1991,"Transgenic"
"J","Shin, JH; Han, JH; Park, HH; Fu, T; Kim, KS","Optimization of Polyethylene Glycol-Mediated Transformation of the Pepper Anthracnose Pathogen Colletotrichum scovillei to Develop an Applied Genomics Approach","PLANT PATHOLOGY JOURNAL",2019,"Transgenic"
"J","Huang, LC; Dai, LP; Wang, L; Leng, YJ; Yang, YL; Xu, J; Hu, J; Rao, YC; Zhang, GH; Zhu, L; Dong, GJ; Guo, LB; Qian, Q; Zeng, DL","Genetic Dissection for Chlorophyll Content of the Top Three Leaves During Grain Filling in Rice (Oryza sativa L.)","JOURNAL OF PLANT GROWTH REGULATION",2015,"Transgenic"
"J","Buckmann, H; Petersen, J; Schlinker, G; Marlander, B","Weed control in genetically modified sugar beet - two year experiences of a field trial series in Germany","ZEITSCHRIFT FUR PFLANZENKRANKHEITEN UND PFLANZENSCHUTZ-JOURNAL OF PLANT DISEASES AND PROTECTION",2000,"Transgenic"
"J","Hu, XJ; Chen, DD; Mclntyre, CL; Dreccer, MF; Zhang, ZB; Drenth, J; Kalaipandian, S; Chang, HP; Xue, GP","Heat shock factor C2a serves as a proactive mechanism for heat protection in developing grains in wheat via an ABA-mediated regulatory pathway","PLANT CELL AND ENVIRONMENT",2018,"Transgenic"
"J","Matsuda, R; Ueno, A; Nakaigawa, H; Fujiwara, K","Gas Exchange Rates Decrease and Leaf Temperature Increases in Nicotiana benthamiana Leaves Transiently Overexpressing Hemagglutinin in an Agrobacterium-Assisted Viral Vector System","FRONTIERS IN PLANT SCIENCE",2018,"Transgenic"
"J","Chen, SF; Lou, SL; Zhao, XC; Zhang, SJ; Chen, LT; Huang, P; Li, GD; Li, YY; Liu, YG; Chen, YL","Ectopic expression of a male fertility gene, LOGL8, represses LOG and hinders panicle and ovule development","CROP JOURNAL",2022,"Transgenic"
"J","Arabia, A; Munoz, P; Pallares, N; Munne-Bosch, S","Experimental approaches in studying active biomolecules modulating fruit ripening: Melatonin as a case study","PLANT PHYSIOLOGY",2023,"Transgenic"
"J","Jin, YH; Yuan, YJ; Gao, LC; Sun, RH; Chen, LZ; Li, DD; Zheng, YS","Characterization and Functional Analysis of a Type 2 Diacylglycerol Acyltransferase (DGAT2) Gene from Oil Palm (Elaeis guineensis Jacq.) Mesocarp in Saccharomyces cerevisiae and Transgenic Arabidopsis thaliana","FRONTIERS IN PLANT SCIENCE",2017,"Transgenic"
"J","Kurokawa, Y; Nagai, K; Huan, PD; Shimazaki, K; Qu, HQ; Mori, Y; Toda, Y; Kuroha, T; Hayashi, N; Aiga, S; Itoh, J; Yoshimura, A; Sasaki-Sekimoto, Y; Ohta, H; Shimojima, M; Malik, A; Pedersen, O; Colmer, TD; Ashikari, M","Rice leaf hydrophobicity and gas films are conferred by a wax synthesis gene (LGF1) and contribute to flood tolerance","NEW PHYTOLOGIST",2018,"Transgenic"
"J","Chen, W; Zhang, LL; Li, XY; Ye, RZ; Li, Q; Zhu, JG; Fang, NN; Wang, LL; Wu, ZJ; Horwath, WR","Elevated ozone increases nitrifying and denitrifying enzyme activities in the rhizosphere of wheat after 5 years of fumigation","PLANT AND SOIL",2015,"Transgenic"
"J","Yang, XW; He, K; Chi, XY; Chai, GH; Wang, YP; Jia, CL; Zhang, HP; Zhou, GK; Hu, RB","Miscanthus NAC transcription factor MlNAC12 positively mediates abiotic stress tolerance in transgenic Arabidopsis","PLANT SCIENCE",2018,"Transgenic"
"J","Pirrello, J; Jaimes-Miranda, F; Sanchez-Ballesta, MT; Tournier, B; Khalil-Ahmad, Q; Regad, F; Latche, A; Pech, JC; Bouzayen, M","Sl-ERF2, a tomato ethylene response factor involved in ethylene response and seed germination","PLANT AND CELL PHYSIOLOGY",2006,"Transgenic"
"J","Ding, CQ; Wang, Y; Chang, ZY; You, SL; Liu, ZH; Wang, SH; Ding, YF","Comparative Proteomic Analysis Reveals Nitrogen Fertilizer Increases Spikelet Number per Panicle in Rice by Repressing Protein Degradation and 14-3-3 Proteins","JOURNAL OF PLANT GROWTH REGULATION",2016,"Transgenic"
"J","Rattanapisit, K; Kitisripanya, T; Konyanee, A; Sae-Foo, W; Burapapiruin, A; Putalun, W; Sakamoto, S; Phoolcharoen, W; Yusakul, G","Plant-made antibody against miroestrol: a new platform for expression of full-length immunoglobulin G against small-molecule targets in immunoassays","PLANT CELL REPORTS",2021,"Transgenic"
"J","Kossler, S; Armarego-Marriott, T; Tarkowska, D; Tureckova, V; Agrawal, S; Mi, JN; de Souza, LP; Schottler, MA; Schadach, A; Frohlich, A; Bock, R; Al-Babili, S; Ruf, S; Sampathkumar, A; Moreno, JC","Lycopene beta-cyclase expression influences plant physiology, development, and metabolism in tobacco plants","JOURNAL OF EXPERIMENTAL BOTANY",2021,"Transgenic"
"J","Sun, X; Jia, X; Huo, LQ; Che, RM; Gong, XQ; Wang, P; Ma, FW","MdATG18a overexpression improves tolerance to nitrogen deficiency and regulates anthocyanin accumulation through increased autophagy in transgenic apple","PLANT CELL AND ENVIRONMENT",2018,"Transgenic"
"J","Pereira, BM; Guimaraes, LA; Souza, NOS; Saraiva, MAP; Guimaraes, PM; Brasileiro, ACM","Overexpression of Wild Arachis Lipocalin Enhances Root-Knot Nematode Resistance in Peanut Hairy Roots","PLANT MOLECULAR BIOLOGY REPORTER",2019,"Transgenic"
"J","Yu, XH; Cai, YH; Keereetaweep, J; Wei, K; Chai, J; Deng, E; Liu, H; Shanklin, J","Biotin attachment domain-containing proteins mediate hydroxy fatty acid-dependent inhibition of acetyl CoA carboxylase","PLANT PHYSIOLOGY",2021,"Transgenic"
"J","Du, YY; Zhang, Y; Song, Y; Zhang, Z; Fan, SJ; Zhang, HZ; Wang, PW","Identification of Resistance to Pathogenesis Related Protein GmPR1L in Tobacco Botrytis cinerea Infection","PHYTON-INTERNATIONAL JOURNAL OF EXPERIMENTAL BOTANY",2023,"Transgenic"
"J","Ilyas, M; Nisar, M; Khan, N; Hazrat, A; Khan, AH; Hayat, K; Fahad, S; Khan, A; Ullah, A","Drought Tolerance Strategies in Plants: A Mechanistic Approach","JOURNAL OF PLANT GROWTH REGULATION",2021,"Transgenic"
"J","Hehle, VK; Lombardi, R; van Dolleweerd, CJ; Paul, MJ; Di Micco, P; Morea, V; Benvenuto, E; Donini, M; Ma, JKC","Site-specific proteolytic degradation of IgG monoclonal antibodies expressed in tobacco plants","PLANT BIOTECHNOLOGY JOURNAL",2015,"Transgenic"
"J","Fei, C; Zhang, SR; Li, JF; Zhang, L; Liang, B; Li, JL; Ding, XD","Substituting Manure with Rice Husk to Improve Phosphorus Adsorption and Immobilization in High Phosphorus Accumulated Greenhouse Vegetable Soil","JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION",2022,"Transgenic"
"J","Singh, N; Jain, N; Kumar, R; Jain, A; Singh, NK; Rai, V","A comparative method for protein extraction and 2-D gel electrophoresis from different tissues of Cajanus cajan","FRONTIERS IN PLANT SCIENCE",2015,"Transgenic"
"J","Heang, D; Sassa, H","An atypical bHLH protein encoded by POSITIVE REGULATOR OF GRAIN LENGTH 2 is involved in controlling grain length and weight of rice through interaction with a typical bHLH protein APG","BREEDING SCIENCE",2012,"Transgenic"
"J","Zhu, SS; Wang, JC; Cai, MH; Zhang, H; Wu, FQ; Xu, Y; Li, CN; Cheng, ZJ; Zhang, X; Guo, XP; Sheng, PK; Wu, MM; Wang, JL; Lei, CL; Wang, J; Zhao, ZC; Wu, CY; Wang, HY; Wan, JM","The OsHAPL1-DTH8-Hd1 complex functions as the transcription regulator to repress heading date in rice","JOURNAL OF EXPERIMENTAL BOTANY",2017,"Transgenic"
"J","Kucerova, P; Mackova, M; Chroma, L; Burkhard, J; Triska, J; Demnerova, K; Macek, T","Metabolism of polychlorinated biphenyls by Solanum nigrum hairy root clone SNC-9O and analysis of transformation products","PLANT AND SOIL",2000,"Transgenic"
"J","Yu, SW; Huang, AN; Li, J; Gao, L; Feng, YN; Pemberton, E; Chen, CL","OsNAC45 plays complex roles by mediating POD activity and the expression of development-related genes under various abiotic stresses in rice root","PLANT GROWTH REGULATION",2018,"Transgenic"
"J","Basak, BB","Soil Phosphorus Dynamics and P Uptake by Medicinal Crops as Influenced by Locally Available Organic Amendments in Light-Textured Soil of Semi-arid Western India","JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION",2023,"Transgenic"
"J","Brugiere, N; Zhang, WJ; Xu, QZ; Scolaro, EJ; Lu, C; Kahsay, RY; Kise, R; Trecker, L; Williams, RW; Hakimi, S; Niu, XP; Lafitte, R; Habben, JE","Overexpression of RING Domain E3 Ligase ZmXerico1 Confers Drought Tolerance through Regulation of ABA Homeostasis","PLANT PHYSIOLOGY",2017,"Transgenic"
"J","Diwakar, HG; Dhananjaya, BC; Jayanthi, T; Ravi, MV; Siddaramappa, R","Transformation of S Fractions under Field Conditions with Groundnut (Arachis hypogaea L.) in an Alfisol of Karnataka","COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS",2014,"Transgenic"
"J","Zhang, YD; Deng, GF; Fan, WJ; Yuan, L; Wang, HX; Zhang, P","NHX1 and eIF4A1-stacked transgenic sweetpotato shows enhanced tolerance to drought stress","PLANT CELL REPORTS",2019,"Transgenic"
"J","Re, DA; Capella, M; Bonaventure, G; Chan, RL","Arabidopsis AtHB7 and AtHB12 evolved divergently to fine tune processes associated with growth and responses to water stress","BMC PLANT BIOLOGY",2014,"Transgenic"
"J","Feng, YD; Ren, YP; Zhang, H; Heng, YQ; Wang, ZX; Wang, Y","Halostachys caspica pathogenesis-related protein 10 acts as a cytokinin reservoir to regulate plant growth and development","FRONTIERS IN PLANT SCIENCE",2023,"Transgenic"
"J","Millan, AFS; Ortigosa, SM; Hervas-Stubbs, S; Corral-Martinez, P; Segui-Simarro, JM; Gaetan, J; Coursaget, P; Veramendi, J","Human papillomavirus L1 protein expressed in tobacco chloroplasts self-assembles into virus-like particles that are highly immunogenic","PLANT BIOTECHNOLOGY JOURNAL",2008,"Transgenic"
"J","Castiglioni, P; Warner, D; Bensen, RJ; Anstrom, DC; Harrison, J; Stoecker, M; Abad, M; Kumar, G; Salvador, S; D'Ordine, R; Navarro, S; Back, S; Fernandes, M; Targolli, J; Dasgupta, S; Bonin, C; Luethy, MH; Heard, JE","Bacterial RNA chaperones confer abiotic stress tolerance in plants and improved grain yield in maize under water-limited conditions","PLANT PHYSIOLOGY",2008,"Transgenic"
"J","Wang, YZ; Li, YS; Roses-Diaz, T; Caceres-Moreno, C; Lozano-Duran, R; Macho, AP","The IMMUNE-ASSOCIATED NUCLEOTIDE-BINDING 9 Protein Is a Regulator of Basal Immunity in Arabidopsis thaliana","MOLECULAR PLANT-MICROBE INTERACTIONS",2019,"Transgenic"
"J","Santos, PAG; Figueiredo, AC; Oliveira, MM; Barroso, JG; Pedro, LG; Deans, SG; Scheffer, JJC","Growth and essential oil composition of hairy root cultures of Levisticum officinale W.D.J. Koch (lovage)","PLANT SCIENCE",2005,"Transgenic"
"J","Fujiuchi, N; Matoba, N; Fujiwara, K; Matsuda, R","Effects of lighting conditions on Agrobacterium-mediated transient expression of recombinant hemagglutinin in detached Nicotiana benthamiana leaves inoculated with a deconstructed viral vector","PLANT CELL TISSUE AND ORGAN CULTURE",2021,"Transgenic"
"J","Blankenau, K; Kuhlmann, H","Effect of N supply on apparent recovery of fertilizer N as crop N and N-min in soil during and after cultivation of winter cereals","JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE",2000,"Transgenic"
"J","Wang, JL; Tan, SL; He, MX; Huang, W; Huang, JC","Ketocarotenoids accumulation in the leaves of engineered Brassica napus restricts photosynthetic efficiency and plant growth","ENVIRONMENTAL AND EXPERIMENTAL BOTANY",2021,"Transgenic"
"J","Gould, PD; Diaz, P; Hogben, C; Kusakina, J; Salem, R; Hartwell, J; Hall, A","Delayed fluorescence as a universal tool for the measurement of circadian rhythms in higher plants","PLANT JOURNAL",2009,"Transgenic"
"J","Fukuzawa, N; Masuta, C; Matsumura, T","Rapid transient protein production by the coat protein-deficient cucumber mosaic virus vector: non-packaged CMV system, NoPaCS","PLANT CELL REPORTS",2018,"Transgenic"
"J","Dominguez, PG; Carrari, F","ASR1 transcription factor and its role in metabolism","PLANT SIGNALING & BEHAVIOR",2015,"Transgenic"
"J","Xie, J; Liao, HX; Wang, XW; Zhang, XB; Ni, JL; Li, YY; Tian, WJ; Sang, XC","DLT/OsGRAS-32, regulating leaf width and thickness by controlling cell number in Oryza sativa","MOLECULAR BREEDING",2019,"Transgenic"
"J","PARKER, DM; HILBER, UW; BODMER, M; SMITH, FD; YAO, C; KOLLER, W","PRODUCTION AND TRANSFORMATION OF CONIDIA OF VENTURIA-INAEQUALIS","PHYTOPATHOLOGY",1995,"Transgenic"
"J","Song, T; Lou, YX; Xu, CX; Cai, XF; Wang, XL; Ma, HM; Wang, TH; Zhou, JJ; Ge, CH; Wang, QH; Wang, S","Functional analysis of spinach CONSTITUTIVE EXPRESSOR OF PATHOGENESIS-RELATED GENES5 (SoCPR5) in plant immunity","EUROPEAN JOURNAL OF PLANT PATHOLOGY",2018,"Transgenic"
"J","Singh, M; Qureshi, KA; Jaremko, M; Rajput, M; Singh, SK; Kaushalendra; Pandey, KD; Ferreira, LFR; Kumar, A","Bioprospects of Endophytic Bacteria in Plant Growth Promotion and Ag-Nanoparticle Biosynthesis","PLANTS-BASEL",2022,"Transgenic"
"J","Patra, N; Srivastava, AK","Artemisinin production by plant hairy root cultures in gas- and liquid-phase bioreactors","PLANT CELL REPORTS",2016,"Transgenic"
"J","Kirchhoff, J; Raven, N; Boes, A; Roberts, JL; Russell, S; Treffenfeldt, W; Fischer, R; Schinkel, H; Schiermeyer, A; Schillberg, S","Monoclonal tobacco cell lines with enhanced recombinant protein yields can be generated from heterogeneous cell suspension cultures by flow sorting","PLANT BIOTECHNOLOGY JOURNAL",2012,"Transgenic"
"J","Zhang, L; Lu, X; Shen, Q; Chen, YF; Wang, T; Zhang, FY; Wu, SY; Jiang, WM; Liu, P; Zhang, LD; Wang, YY; Tang, KX","Identification of Putative Artemisia annua ABCG Transporter Unigenes Related to Artemisinin Yield Following Expression Analysis in Different Plant Tissues and in Response to Methyl Jasmonate and Abscisic Acid Treatments","PLANT MOLECULAR BIOLOGY REPORTER",2012,"Transgenic"
"J","Li, J; Foster, R; Ma, S; Liao, SJ; Bliss, S; Kartika, D; Wang, L; Wu, LM; Eamens, AL; Ruan, YL","Identification of transcription factors controlling cell wall invertase gene expression for reproductive development via bioinformatic and transgenic analyses","PLANT JOURNAL",2021,"Transgenic"
"J","Cho, SK; Sharma, P; Butler, NM; Kang, IH; Shah, S; Rao, AG; Hannapel, DJ","Polypyrimidine tract-binding proteins of potato mediate tuberization through an interaction with StBEL5 RNA","JOURNAL OF EXPERIMENTAL BOTANY",2015,"Transgenic"
"J","Xu, SX; Han, WL; Cao, KX; Li, B; Zheng, C; Xie, K; Li, W; He, LX","Knockdown of NtCPS2 promotes plant growth and reduces drought tolerance in Nicotiana tabacum","FRONTIERS IN PLANT SCIENCE",2022,"Transgenic"
"J","Zienkiewicz, M; Krupnik, T; Drozak, A; Golke, A; Romanowska, E","Transformation of the Cyanidioschyzon merolae chloroplast genome: prospects for understanding chloroplast function in extreme environments","PLANT MOLECULAR BIOLOGY",2017,"Transgenic"
"J","Rousseaux, MC; Ballare, CL; Jordan, ET; Vierstra, RD","Directed overexpression of PHYA locally suppresses stem elongation and leaf senescence responses to far-red radiation","PLANT CELL AND ENVIRONMENT",1997,"Transgenic"
"J","Saunders, K; Lomonossoff, GP","The Generation of Turnip Crinkle Virus-Like Particles in Plants by the Transient Expression of Wild-Type and Modified Forms of Its Coat Protein","FRONTIERS IN PLANT SCIENCE",2015,"Transgenic"
"J","Huang, DB; Gao, LW; McAdams, J; Zhao, FZ; Lu, HY; Wu, YH; Martin, J; Sherif, SM; Subramanian, J; Duan, H; Liu, WS","Engineered Cleistogamy in Camelina sativa for bioconfinement","HORTICULTURE RESEARCH",2023,"Transgenic"
"J","Li, CQ; Luo, L; Fu, QT; Niu, LJ; Xu, ZF","Isolation and functional characterization of JcFT, a FLOWERING LOCUS T (FT) homologous gene from the biofuel plant Jatropha curcas","BMC PLANT BIOLOGY",2014,"Transgenic"
"J","Hu, JK; Chen, ZY; Gu, CH; Yu, MN; Yu, JJ; Nie, YF; Huang, L; Qiao, JQ; Huang, X; He, J; Liu, YF","ISOLATION AND CHARACTERIZATION OF A PROMOTER FROM RICE FALSE SMUT FUNGUS USTILAGINOIDEA VIRENS","JOURNAL OF PLANT PATHOLOGY",2013,"Transgenic"
"J","Zhang, RJ; Xia, XJ; Lindsey, K; da Rocha, PSCF","Functional complementation of dwf4 mutants of Arabidopsis by overexpression of CYP724A1","JOURNAL OF PLANT PHYSIOLOGY",2012,"Transgenic"
"J","Zhang, F; He, W; Yuan, QY; Wei, K; Ruan, L; Wang, LY; Cheng, H","Transcriptome analysis identifies CsNRT genes involved in nitrogen uptake in tea plants, with a major role of CsNRT2.4","PLANT PHYSIOLOGY AND BIOCHEMISTRY",2021,"Transgenic"
"J","Wang, MM; Zhou, S; Lu, JY; Xu, AQ; Huang, Y; Bie, ZL; Cheng, F","CmRCC1 Gene From Pumpkin Confers Cold Tolerance in Tobacco by Modulating Root Architecture and Photosynthetic Activity","FRONTIERS IN PLANT SCIENCE",2021,"Transgenic"
"J","Tong, ZY; Li, H; Zhang, RX; Ma, L; Dong, JL; Wang, T","Co-downregulation of the hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyl transferase and coumarate 3-hydroxylase significantly increases cellulose content in transgenic alfalfa (Medicago sativa L.)","PLANT SCIENCE",2015,"Transgenic"
"J","Rebelo, BA; Folgado, A; Ferreira, AC; Abranches, R","Production of the SARS-CoV-2 Spike protein and its Receptor Binding Domain in plant cell suspension cultures","FRONTIERS IN PLANT SCIENCE",2022,"Transgenic"
"J","Jain, M; Cai, L; Fleites, LA; Munoz-Bodnar, A; Davis, MJ; Gabriel, DW","Liberibacter crescens Is a Cultured Surrogate for Functional Genomics of Uncultured Pathogenic 'Candidatus Liberibacter' spp. and Is Naturally Competent for Transformation","PHYTOPATHOLOGY",2019,"Transgenic"
"J","Amini, R; Zafarani-Moattar, P; Shakiba, MR; Sarikhani, MR","Essential Oil Yield and Composition of Moldavian Balm (Dracocephalum moldavicaL.) As Affected by Inoculation Treatments Under Drought Stress Condition","JOURNAL OF ESSENTIAL OIL BEARING PLANTS",2020,"Transgenic"
"J","Sobol, S; Chayut, N; Nave, N; Kafle, D; Hegele, M; Kaminetsky, R; Wunsche, JN; Samach, A","Genetic variation in yield under hot ambient temperatures spotlights a role for cytokinin in protection of developing floral primordia","PLANT CELL AND ENVIRONMENT",2014,"Transgenic"
"J","Li, SP; Chen, L; Zhang, LW; Li, X; Liu, Y; Wu, ZK; Dong, FM; Wan, LL; Liu, KD; Hong, DF; Yang, GS","BnaC9.SMG7b Functions as a Positive Regulator of the Number of Seeds per Silique in Brassica napus by Regulating the Formation of Functional Female Gametophytes","PLANT PHYSIOLOGY",2015,"Transgenic"
"J","Saleem, S; Khan, MS","Phyto-interactive impact of green synthesized iron oxide nanoparticles and Rhizobium pusense on morpho-physiological and yield components of greengram","PLANT PHYSIOLOGY AND BIOCHEMISTRY",2023,"Transgenic"
"J","Chaparro-Pulido, CA; Montiel, MM; Palomo-Rios, E; Mercado, JA; Pliego-Alfaro, F","Development of an efficient transient transformation protocol for avocado (Persea americana Mill.) embryogenic callus","IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT",2014,"Transgenic"
"J","Huang, HZ; Xing, SH; Tang, KX; Jiang, WM","AaWRKY4 upregulates artemisinin content through boosting the expressions of key enzymes in artemisinin biosynthetic pathway","PLANT CELL TISSUE AND ORGAN CULTURE",2021,"Transgenic"
"J","Michoux, F; Ahmad, N; Hennig, A; Nixon, PJ; Warzecha, H","Production of leafy biomass using temporary immersion bioreactors: an alternative platform to express proteins in transplastomic plants with drastic phenotypes","PLANTA",2013,"Transgenic"
"J","Zhu, ZS; Xu, XX; Cao, BH; Chen, CM; Chen, QH; Xiang, CB; Chen, GJ; Lei, JJ","Pyramiding of AtEDT1/HDG11 and Cry2Aa2 into pepper (Capsicum annuum L.) enhances drought tolerance and insect resistance without yield decrease","PLANT CELL TISSUE AND ORGAN CULTURE",2015,"Transgenic"
"J","Uma, S; Kumaravel, M; Backiyarani, S; Saraswathi, MS; Durai, P; Karthic, R","Somatic embryogenesis as a tool for reproduction of genetically stable plants in banana and confirmatory field trials","PLANT CELL TISSUE AND ORGAN CULTURE",2021,"Transgenic"
"J","Backhausen, JE; Scheibe, R","Adaptation of tobacco plants to elevated CO2: influence of leaf age on changes in physiology, redox states and NADP-malate dehydrogenase activity","JOURNAL OF EXPERIMENTAL BOTANY",1999,"Transgenic"
"J","Aoki, N; Cui, S; Ito, C; Kumaishi, K; Kobori, S; Ichihashi, Y; Yoshida, S","Phenolic signals for prehaustorium formation in Striga hermonthica","FRONTIERS IN PLANT SCIENCE",2022,"Transgenic"
"J","Menassa, R; Nguyen, V; Jevnikar, A; Brandle, J","A self-contained system for the field production of plant recombinant interleukin-10","MOLECULAR BREEDING",2001,"Transgenic"
"J","Hu, HZ; Zhang, R; Tao, ZS; Li, XK; Li, YY; Huang, JF; Li, XX; Han, X; Feng, SQ; Zhang, GM; Pen, LC","Cellulose Synthase Mutants Distinctively Affect Cell Growth and Cell Wall Integrity for Plant Biomass Production in Arabidopsis","PLANT AND CELL PHYSIOLOGY",2018,"Transgenic"
"J","McCabe, MS; Klaas, M; Gonzalez-Rabade, N; Poage, M; Badillo-Corona, JA; Zhou, F; Karcher, D; Bock, R; Gray, JC; Dix, PJ","Plastid transformation of high-biomass tobacco variety Maryland Mammoth for production of human immunodeficiency virus type 1 (HIV-1) p24 antigen","PLANT BIOTECHNOLOGY JOURNAL",2008,"Transgenic"
"J","Villani, ME; Roggero, P; Bitti, O; Benvenuto, E; Franconi, R","Immunomodulation of cucumber mosaic virus infection by intrabodies selected in vitro from a stable single-framework phage display library","PLANT MOLECULAR BIOLOGY",2005,"Transgenic"
"J","Rehman, HM; Rana, IA; Ijaz, S; Mustafa, G; Joyia, FA; Khan, IA; Pijut, PM","In vitro Regeneration of Dalbergia sissoo Roxb. and the Potential for Genetic Transformation","NOTULAE BOTANICAE HORTI AGROBOTANICI CLUJ-NAPOCA",2012,"Transgenic"
"J","Kruger, GHJ; De Villiers, MF; Strauss, AG; de Beer, M; van Heerden, PDR; Maldonado, R; Strasser, RJ","Inhibition of photosystem II activities in soybean (Glycine max) genotypes differing in chilling sensitivity","SOUTH AFRICAN JOURNAL OF BOTANY",2014,"Transgenic"
"J","Rehman, N; Khan, MR; Ali, GM","A novel phytoene synthase paralog from halophytic Salicornia confers salinity tolerance in plants","TURKISH JOURNAL OF BOTANY",2017,"Transgenic"
"J","Zhang, WW; Yang, HQ; You, SZ; Fan, SL; Ran, K","MhNCED3, a gene encoding 9-cis-epoxycarotenoid dioxygenase in Malus hupehensis Rehd., enhances plant tolerance to Cl- stress by reducing Cl- accumulation","PLANT PHYSIOLOGY AND BIOCHEMISTRY",2015,"Transgenic"
"J","TAKAHATA, Y; BROWN, DCW; KELLER, WA","EFFECT OF DONOR PLANT-AGE AND INFLORESCENCE AGE ON MICROSPORE CULTURE OF BRASSICA-NAPUS L","EUPHYTICA",1991,"Transgenic"
"J","Mukherjee, S; Ghosh, B; Jha, S","Higher production of forskolin in genetically transformed cultures of Coleus forskohlii briq induced by growth regulators","JOURNAL OF PLANT BIOCHEMISTRY AND BIOTECHNOLOGY",2003,"Transgenic"
"J","MCGRATH, MT; PENNYPACKER, SP","REDUCTION IN THE RATE AND DURATION OF GRAIN-GROWTH IN WHEAT DUE TO STEM RUST AND LEAF RUST","PHYTOPATHOLOGY",1991,"Transgenic"
"J","Norkunas, K; Harding, R; Dale, J; Dugdale, B","Improving agroinfiltration-based transient gene expression in Nicotiana benthamiana","PLANT METHODS",2018,"Transgenic"
"J","Kelly, AA; van Erp, H; Quettier, AL; Shaw, E; Menard, G; Kurup, S; Eastmond, PJ","The SUGAR-DEPENDENT1 Lipase Limits Triacylglycerol Accumulation in Vegetative Tissues of Arabidopsis","PLANT PHYSIOLOGY",2013,"Transgenic"
"J","Li, ST; Zhang, JJ; Liu, L; Wang, ZR; Li, YF; Guo, LQ; Li, Y; Zhang, XC; Ren, SX; Zhao, B; Zhang, N; Guo, YD","SlTLFP8reduces water loss to improve water-use efficiency by modulating cell size and stomatal density via endoreduplication","PLANT CELL AND ENVIRONMENT",2020,"Transgenic"
